 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,21,11,5,21,895,18.99,8,2,63.66
2,39,21,6,38,1940,23.66,12,9,106.19
3,1,0,2,0,91,33.72,0,0,33.72
4,4,2,1,5,235,24.74,1,1,54.74
5,5,2,2,4,103,9.42,0,2,31.19
6,4,2,2,2,272,30.82,2,0,42.69
7,1,0,2,0,66,30.08,0,0,30.08
8,5,2,3,3,313,28.35,1,1,60.78
9,2,1,1,1,54,10.59,1,0,19.82
10,11,6,3,13,359,16.99,5,1,39.88
11,1,0,2,0,124,52.58,0,0,52.58
12,1,0,2,0,101,37.42,0,0,37.42
13,1,0,0,0,3,0.75,0,0,0.75
